STUDY_INFO,STUDY_DATE_BEGIN,STUDY_DATE_END,NUM_CASE,SUB_NATIONAL_REGION,AREA_SIZE,YEAR_PUBLICATION,LONGITUDE,LATITUDE,AREA_HOSPITAL,COUNTRY,DIAGNOSTIC_METHOD_SUMMARY,STUDY_TYPE
"Wong, V. K., et al. (2016). ""Molecular Surveillance Identifies Multiple Transmissions of Typhoid in West Africa."" PLoS Negl Trop Dis 10(9): e0004781.",2014,2015,296.0,"Aminu Kano Univeristy Teaching Hospital, Hasiya Bayero Pediatric Hospital, Murtala Muhammad Specialist Hospital, Kano and Federal Capital Territory",NA,2016,NA,NA,Hospital,Nigeria,Blood culture,Prospective study
"Wong, V. K., et al. (2016). ""Molecular Surveillance Identifies Multiple Transmissions of Typhoid in West Africa."" PLoS Negl Trop Dis 10(9): e0004781.",2014,2015,NA,"Aminu Kano Univeristy Teaching Hospital, Kano",NA,2016,11.9664531829001,8.54871786737787,Hospital,Nigeria,Blood culture,Prospective study
"Anyanwu, L.J., et al., Determinants of postoperative morbidity and mortality in children managed for typhoid intestinal perforation in Kano Nigeria. J Pediatr Surg, 2018. 53(4): p. 847-852.",2009,2013,129.0,"Aminu Kano Univeristy Teaching Hospital,Kano",NA,2018,8.54875005515918,11.9666316095177,Hospital,Nigeria,Clinical symptoms,Retrospective study
"Edino, S. T., A. A. Yakubu, et al. (2007). ""Prognostic factors in typhoid ileal perforation: a prospective study of 53 cases."" J Natl Med Assoc 99(9): 1042-1045.",2004,2006,53.0,"Aminu Kano Univeristy Teaching Hospital,Kano",NA,2007,8.59195599999999,12.002179,Hospital,Nigeria,Clinical symptoms,Prospective study
"Edino, S. T., A. Z. Mohammed, et al. (2004). ""Typhoid enteric perforation in north western Nigeria."" Niger J Med 13(4): 345-349.",1997,2003,47.0,"Aminu Kano Univeristy Teaching Hospital,Kano",NA,2004,8.59195599999999,12.002179,Hospital,Nigeria,Clinical symptoms,Retrospective study
"Bello, N., et al., Characterization and Antimicrobial Susceptibility Profile of Bacteraemia Causing Pathogens Isolated from Febrile Children with and without Sickle Cell Disease in Kano, Nigeria. Mediterr J Hematol Infect Dis, 2018. 10(1): p. e2018016.",NA,NA,NA,Aminu Kano University Teaching Hospital,NA,2018,8.54875005515918,11.9666316095177,Hospital,Nigeria,Blood culture,Prospective study
"Bello, N., et al., Characterization and Antimicrobial Susceptibility Profile of Bacteraemia Causing Pathogens Isolated from Febrile Children with and without Sickle Cell Disease in Kano, Nigeria. Mediterr J Hematol Infect Dis, 2018. 10(1): p. e2018016.",NA,NA,35.0,"Aminu Kano University Teaching Hospital, Hasiya Bayero Pediatric Hospital, Murtala Muhammad Specialist Hospital , Kano",NA,2018,NA,NA,Hospital,Nigeria,Blood culture,Prospective study
"Francisco, M., et al., First report on antimicrobial resistance and molecular characterisation of Salmonella enterica serotype Typhi isolated from human specimens in Luanda, Angola. J Glob Antimicrob Resist, 2018. 13: p. 246-249.",2013,2014,10.0,"Angolan National Institute of Public Health, Luanda (Capital city)",20 km by 20 km,2018,13.2279085505308,-8.82442679182368,Hospital,Angola,Blood culture,Prospective study
"Agbenu, E., H. d'Almeida, et al. (2010). ""[Evaluation of the Widal-Felix serodiagnostic test in Togo]."" Med Trop (Mars) 70(1): 43-48.",2005,2006,3.0,Atakpame,4 km by 3 km,2010,1.12721426331333,7.53038190517716,Area,Togo,Widal test,Prospective study
"Birhanie, M., et al., Malaria, Typhoid Fever, and Their Coinfection among Febrile Patients at a Rural Health Center in Northwest Ethiopia: A Cross-Sectional Study. Adv Med, 2014. 2014: p. 531074.",2013,2013,1.0,"Ayinba Health Center, Dembia district, Northwestern Ethiopia",NA,2014,37.3007651411848,12.5490989141122,Hospital,Ethiopia,Blood culture,Cross-sectional study
"Abera, B., G. Yitayew, and H. Amare, Salmonella serotypeTyphi, Shigella, and intestinal parasites among food handlers at Bahir Dar University, Ethiopia. J Infect Dev Ctries, 2016. 10(2): p. 121-6.",2014,2014,11.0,"Bahir Dar University, Bahir Dar, Amhara Region",NA,2016,37.3986242673624,11.5742081362737,Hospital,Ethiopia,Stool culture,Cross-sectional study
"Kenji, O.M., et al., Infectious etiologies of febrile illnesses in cameroon. American Journal of Tropical Medicine and Hygiene, 2016. 95(5): p. 144-145.",2014,2015,36.0,Bamenda city,8 km by 7 km,2016,10.1570860774541,5.96519762185378,Area,Cameroon,Stool culture,Literature review
"Marks, F., et al., Incidence of invasive salmonella disease in sub-Saharan Africa: a multicentre population-based surveillance study. Lancet Glob Health, 2017. 5(3): p. e310-e323.",2011,2013,3.0,Bissau,10 km by 10 km,2017,-15.5948882307574,11.8499546621699,Area,Guinea-Bissau,Blood culture,Prospective study
"Serengbe, B. G., A. Gaudeuille, et al. (2002). ""[Acute abdominal pain in children at the Pediatric Hospital in Bangui (Central African Republic). Epidemiological, clinical, paraclinical, therapeutic and evolutive aspects]."" Arch Pediatr 9(2): 136-141.",NA,NA,31.0,Bangui city,12 km by 11 km,2002,18.5579432250926,4.39043414957992,Area,Central African Republic,Clinical symptoms,Retrospective study
"Kayode, O. T., et al. (2011). ""Status of selected hematological and biochemical parameters in malaria and malaria-typhoid co-infection."" Journal of Biological Sciences 11(5): 367-373.",2010,2011,36.0,"Bells University of Technology, Ota, Ogun State",NA,2011,3.17120736231336,6.68606533315039,Hospital,Nigeria,Widal test,Prospective study
"Osifo, D. O., K. N. Emeagui, et al. (2008). ""Safety profile of parenteral ketamine and lignocaine infiltration in pediatric operations."" Saudi Med J 29(1): 60-64.",2002,2006,8.0,Benin City,41 km by 21 km,2008,5.60748728230479,6.31910339116999,Area,Nigeria,Unclear,Prospective study
"Aligbe, J. U., W. O. Akhiwu, et al. (2002). ""Prospective study of coroner's autopsies in Benin City, Nigeria."" Med Sci Law 42(4): 318-324.",1996,1997,NA,Benin City,41 km by 21 km,2002,5.60748728230479,6.31910339116999,Area,Nigeria,Autopsy,Retrospective study
"Enabulele, I.O., et al., Emerging quinolones resistant transfer genes among gram-negative bacteria, isolated from faeces of HIV/AIDS patients attending some Clinics and Hospitals in the City of Benin, Edo State, Nigeria. Online Journal of Health and Allied Sciences, 2006. 5(3).",2001,2005,39.0,Benin City,41 km by 21 km,2006,5.60748728230479,6.31910339116999,Area,Nigeria,Stool culture,Prospective study
"Mashe, T., et al. (2019). ""Laboratory characterisation of Salmonella enterica serotype Typhi isolates from Zimbabwe, 2009-2017."" BMC Infect Dis 19(1): 487.",2009,2017,550.0,"Bindura, Mashonaland Central Province",7 km by 6 km,2019,31.3281751267534,-17.305653240995,Area,Zimbabwe,Blood culture,Outbreak
"Mashe, T., et al. (2019). ""Laboratory characterisation of Salmonella enterica serotype Typhi isolates from Zimbabwe, 2009-2017."" BMC Infect Dis 19(1): 487.",2009,2017,550.0,Harare,34 km by 27 km,2019,31.0376198502991,-17.8224708023083,Area,Zimbabwe,Blood culture,Outbreak
"Mashe, T., et al. (2019). ""Laboratory characterisation of Salmonella enterica serotype Typhi isolates from Zimbabwe, 2009-2017."" BMC Infect Dis 19(1): 487.",2009,2017,550.0,Chegutu,6 km by 6 km,2019,30.13715343791,-18.1305166312547,Area,Zimbabwe,Blood culture,Outbreak
"Mashe, T., et al. (2019). ""Laboratory characterisation of Salmonella enterica serotype Typhi isolates from Zimbabwe, 2009-2017."" BMC Infect Dis 19(1): 487.",2009,2017,550.0,Mutare,11 km by 7 km,2019,32.6510049075975,-18.9779315160986,Area,Zimbabwe,Blood culture,Outbreak
"Mashe, T., et al. (2019). ""Laboratory characterisation of Salmonella enterica serotype Typhi isolates from Zimbabwe, 2009-2017."" BMC Infect Dis 19(1): 487.",2009,2017,550.0,Inyanga,3 km by 5 km,2019,32.7395074009964,-18.2192884657953,Area,Zimbabwe,Blood culture,Outbreak
"Mashe, T., et al. (2019). ""Laboratory characterisation of Salmonella enterica serotype Typhi isolates from Zimbabwe, 2009-2017."" BMC Infect Dis 19(1): 487.",2009,2017,550.0,Mutawatawa,NA,2019,31.9798264259717,-17.1182874451744,Area,Zimbabwe,Blood culture,Outbreak
"Mashe, T., et al. (2019). ""Laboratory characterisation of Salmonella enterica serotype Typhi isolates from Zimbabwe, 2009-2017."" BMC Infect Dis 19(1): 487.",2009,2017,550.0,Rusape,4 km by 4 km,2019,32.1304176559265,-18.5376390820708,Area,Zimbabwe,Blood culture,Outbreak
"Mashe, T., et al. (2019). ""Laboratory characterisation of Salmonella enterica serotype Typhi isolates from Zimbabwe, 2009-2017."" BMC Infect Dis 19(1): 487.",2009,2017,550.0,Chitungwiza,11 km by 6 km,2019,31.0726645692132,-18.011621061236,Area,Zimbabwe,Blood culture,Outbreak
"Isendahl, J., C. Manjuba, et al. (2014). ""Prevalence of community-acquired bacteraemia in Guinea-Bissau: an observational study."" BMC Infect Dis 14: 3859.",2010,2010,3.0,Bissau,10 km by 10 km,2014,-15.6147271928711,11.878616097629,Area,Guinea-Bissau,Blood culture,Prospective study
"Msefula, C. L., et al. (2019). ""Ascertaining the burden of invasive Salmonella disease in hospitalised febrile children aged under four years in Blantyre, Malawi."" PLoS Negl Trop Dis 13(7): e0007539.",2014,2016,21.0,Blantyre,20 km by 20 km,2019,35.0363588112194,-15.7749180477371,Area,Malawi,Blood culture,Prospective study
"Cirillo, V. J. (2014). ""Arthur Conan Doyle (1859-1930): Physician during the typhoid epidemic in the Anglo-Boer War (1899-1902)."" J Med Biogr 22(1): 2-8.",1900,1900,4959.0,"Bloemfontein, Orange Free State",37 km by 32 km,2014,26.159576,-29.085214,Area,South Africa,Autopsy,Outbreak
"Ansumana, R., et al. (2013). ""Presumptive self-diagnosis of malaria and other febrile illnesses in Sierra Leone."" Pan Afr Med J 15: 34.",2012,2012,445.0,Bo Town,9 km by 10 km,2013,-11.7365319374698,7.96135670401688,Area,Sierra Leone,Culture,Cross-sectional study
"Ki-Zerbo, G.A., et al., Enterobacteriaceae bacteriemia in human deficiency virus seropositive in patients at Bobo-Dioulasso hospital (Burkina Faso): Study of 26 cases. Medecine et Maladies Infectieuses, 2000. 30(12): p. 753-756.",1994,1996,13.0,Bobo-Dioulasso city,NA,2000,-4.29551080113094,11.1660658773385,Area,Burkina Faso,Blood culture,Retrospective study
"Kambiré, J.L., et al., Aetiologies and prognosis of secondary peritonitis at Bobo-Dioulasso teaching hospital (Burkina Faso). Journal Africain d'Hepato-Gastroenterologie, 2017. 11(4): p. 149-151.",2012,2012,40.0,Bobo-Dioulasso teaching hospital,NA,2017,-4.30123997599739,11.1718305399619,Hospital,Burkina Faso,Clinical symptoms,Retrospective study
"O'Reilly, C. E., et al. (2012). ""Risk factors for death among children less than 5 years old hospitalized with diarrhea in rural western Kenya, 2005-2007: a cohort study."" PLoS Med 9(7): e1001256.",2005,2007,3.0,"Bondo District Hospital, Nyanza Province",NA,2012,34.2742444104441,-0.0939137946818244,Hospital,Kenya,Stool culture,Prospective study
"Siourime, S.N., et al., SEROTYPING AND ANTIMICROBIAL DRUG RESISTANCE OF SALMONELLA ISOLATED FROM LETTUCE AND HUMAN DIARRHEA SAMPLES IN BURKINA FASO. Afr J Infect Dis, 2017. 11(2): p. 24-30.",2009,2015,12.0,"Boromo, Balé",2 km by 2 km,2017,-2.93064745376335,11.7454639439897,Area,Burkina Faso,Stool culture,Prospective study
"Meremo, A., S. E. Mshana, et al. (2012). ""High prevalence of Non-typhoid salmonella bacteraemia among febrile HIV adult patients admitted at a tertiary Hospital, North-Western Tanzania."" Int Arch Med 5(1): 28.",NA,NA,1.0,"Bugando Medical Centre, Mwanza",NA,2012,32.9061063298029,-2.48644190308925,Hospital,"Tanzania, United Republic of",Blood culture,Cross-sectional study
"Chalya, P. L., J. B. Mabula, et al. (2012). ""Typhoid intestinal perforations at a University teaching hospital in Northwestern Tanzania: A surgical experience of 104 cases in a resource-limited setting."" World J Emerg Surg 7: 4.",2006,2011,104.0,"Bugando Medical Centre, Mwanza, Tanzania",NA,2012,32.9078299999999,-2.52847,Hospital,"Tanzania, United Republic of",Widal test,Prospective study
"Walters, M. S., J. Routh, et al. (2014). ""Shifts in geographic distribution and antimicrobial resistance during a prolonged typhoid fever outbreak--Bundibugyo and Kasese Districts, Uganda, 2009-2011."" PLoS Negl Trop Dis 8(3): e2726.",2011,2011,333.0,Bundibugyo district,60 km by 25 km,2014,30.0659446370092,0.694962014628461,Area,Uganda,Blood culture,Outbreak
"Walters, M. S., J. Routh, et al. (2014). ""Shifts in geographic distribution and antimicrobial resistance during a prolonged typhoid fever outbreak--Bundibugyo and Kasese Districts, Uganda, 2009-2011."" PLoS Negl Trop Dis 8(3): e2726.",2009,2011,1341.0,Bundibugyo districts,8 km by 5 km,2014,30.0631128479839,0.70950978466939,Area,Uganda,NA,NA
"Marks, F., et al., Incidence of invasive salmonella disease in sub-Saharan Africa: a multicentre population-based surveillance study. Lancet Glob Health, 2017. 5(3): p. e310-e323.",2012,2014,3.0,"Butajira, Gurage region",5 km by 5 km,2017,38.3788918148662,8.12151666723582,Area,Ethiopia,Blood culture,Prospective study
"Keddy, K. H., et al. (2010). ""Fluoroquinolone- resistant typhoid, South Africa."" Emerging Infectious Diseases 16(5): 879-880.",NA,NA,1.0,Cape Town,92 km by 49 km,2010,18.617454853439,-33.8777919509422,Area,South Africa,Blood culture,Case report
"Saxe, J.M. and R. Cropsey, Is operative management effective in treatment of perforated typhoid? Am J Surg, 2005. 189(3): p. 342-4.",2003,2003,191.0,Carolyn Kempton Memorial Hospital,NA,2005,0.701106087407008,7.12624375215135,Hospital,Togo,Clinical symptoms,Retrospective study
"Makanjuola, O. B., et al. (2012). ""Quinolone and multidrug resistant Salmonella typhi in Ibadan, Nigeria."" International Journal of Tropical Medicine 7(3): 103-107.",2008,2009,NA,"Catholic Hospital Oluyoro, Ibadan",NA,2012,3.91979057869898,7.38853409762634,Hospital,Nigeria,Blood culture,Prospective study
"Nsutebu, E. F., P. Martins, et al. (2003). ""Prevalence of typhoid fever in febrile patients with symptoms clinically compatible with typhoid fever in Cameroon."" Trop Med Int Health 8(6): 575-578.",1997,1997,3.0,"CDC Central Clinic, Tiko town, Southwest Region",NA,2003,NA,NA,Hospital,Cameroon,Blood culture,Cross-sectional study
"Adias, T. C., et al. (2010). ""Distribution of antibodies to Salmonella in the sera of blood donors in the south-western region of Nigeria."" Blood Transfus 8(3): 163-169.",2004,2005,106.0,Central Blood Transfusion service,NA,2010,7.47173515675256,9.05894535896121,Hospital,Nigeria,Widal test,Prospective study
"Issack, M. I. (2005). ""Epidemiology of typhoid fever in Mauritius."" J Travel Med 12(5): 270-274.",1998,1998,4.0,"Central Health Laboratory, Victoria Hospital, Candos",NA,2005,57.476295,-20.278321,Hospital,Mauritius,Blood culture,Retrospective study
"Issack, M. I. (2005). ""Epidemiology of typhoid fever in Mauritius."" J Travel Med 12(5): 270-274.",2000,2000,1.0,"Central Health Laboratory, Victoria Hospital, Candos",NA,2005,57.476295,-20.278321,Hospital,Mauritius,Blood culture,Retrospective study
"Issack, M. I. (2005). ""Epidemiology of typhoid fever in Mauritius."" J Travel Med 12(5): 270-274.",2002,2002,1.0,"Central Health Laboratory, Victoria Hospital, Candos",NA,2005,57.476295,-20.278321,Hospital,Mauritius,Blood culture,Retrospective study
"Smith, A. M., et al. (2017). ""Laboratory-acquired infections of Salmonella enterica serotype Typhi in South Africa: Phenotypic and genotypic analysis of isolates."" BMC Infectious Diseases 17(1).",2012,2016,3.0,"Centre for Enteric Diseases, National Institute for Communicable Diseases, Johannesburg",NA,2017,28.1175763975581,-26.1315604650798,Hospital,South Africa,Blood culture,Case report
"Kannan, V. C., C. N. Andriamalala, et al. (2015). ""The burden of acute disease in Mahajanga, Madagascar - a 21 month study."" PLoS One 10(3): e0119029.",2011,2012,120.0,"Centre Hopitalier Universitaire de Mahajanga, Mahajanga",NA,2015,46.3536982062164,-15.7000371211745,Hospital,Madagascar,Clinical symptoms,Retrospective study
"Ndayizeye, L., et al., Peritonitis in Rwanda: Epidemiology and risk factors for morbidity and mortality. Surgery, 2016. 160(6): p. 1645-1656.",2014,2015,16.0,"Centre Hospitalier de Kigali, Kigali",NA,2016,-1.95566557909917,30.0604645672972,Hospital,Rwanda,Clinical symptoms,Prospective study
"Zongo, K.J., et al., Microbiological and kinetic detection of gram negative bacilli producing Extended-Spectrum-B-Lactamases (ESBL) in emergencies and reanimation units of university hospital center, Yalgadoouedraogo, Burkina Faso. African Journal of Clinical and Experimental Microbiology, 2016. 17(2): p. 116-124.",2009,2012,1.0,Centre Hospitalier Universitaire Yalgado Ouedraogo,NA,2016,-1.50629636972795,12.3835676327677,Hospital,Burkina Faso,Biochemical test,Prospective study
"Thriemer, K., B. Ley, et al. (2012). ""The burden of invasive bacterial infections in Pemba, Zanzibar."" PLoS One 7(2): e30350.",2009,2010,20.0,"Chake-Chake, Pemba, Zanzibar",4 km by 3 km,2012,39.778581,-5.248615,Area,"Tanzania, United Republic of",Blood culture,Prospective study
"Riewpaiboon, A., M. Piatti, et al. (2014). ""Cost of illness due to typhoid Fever in pemba, zanzibar, East Africa."" J Health Popul Nutr 32(3): 377-385.",2010,2010,9.0,"Chake-Chake, Pemba, Zanzibar",NA,2014,39.7719328609966,-5.2440309143752,Area,"Tanzania, United Republic of",Blood culture,Prospective study
"Mashe, T., et al. (2019). ""Laboratory characterisation of Salmonella enterica serotype Typhi isolates from Zimbabwe, 2009-2017."" BMC Infect Dis 19(1): 487.",2009,2017,550.0,"Chegutu, Mashonaland West Province",6 km by 6 km,2019,30.1400717060746,-18.1301903679333,Area,Zimbabwe,Blood culture,Outbreak
"Mashe, T., et al. (2019). ""Laboratory characterisation of Salmonella enterica serotype Typhi isolates from Zimbabwe, 2009-2017."" BMC Infect Dis 19(1): 487.",2009,2017,550.0,"Chitungwiza, Harare Province",10 km by 7 km,2019,31.0750678531152,-18.0150492686083,Area,Zimbabwe,Blood culture,Outbreak
"Ishaleku, D., T. T. Sar, et al. (2011). ""Salmonella typhi infection in a tertiary institution in Nasarawa State, Nigeria."" Asian Pac J Trop Med 4(2): 137-139.",2005,2007,579.0,"College of Education Health Clinic, Akwanga",NA,2011,8.407457,8.906662,Hospital,Nigeria,Widal test,Retrospective study
"Kayode, O. T., et al. (2011). ""Status of selected hematological and biochemical parameters in malaria and malaria-typhoid co-infection."" Journal of Biological Sciences 11(5): 367-373.",2010,2011,36.0,"Covenant University Health Centers, Ota, Ogun State",NA,2011,3.1638696453239,6.67739163064234,Hospital,Nigeria,Widal test,Prospective study
"Sow, A.I., et al., Bacteriological aspects of salmonellosis at the Dakar Fann university hospital. Medecine et Maladies Infectieuses, 2000. 30(10): p. 657-660.",1995,1997,NA,"Dakar Fann University hospital, Dakar",NA,2000,-17.4641781000293,14.6947947011581,Hospital,Senegal,Culture,Retrospective study
